epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,85790.9,1.18478,0.16095,1.82477,0.97371,0.96662,0.98839,0.87438,0.447,0.04815,0.89298,4.79114e-05,4.79114e-05,4.79114e-05
156,86342.6,1.15724,0.16294,1.78301,0.97326,0.96395,0.98836,0.8748,0.44646,0.048,0.8929,4.73885e-05,4.73885e-05,4.73885e-05
157,86900.9,1.152,0.15792,1.79268,0.97439,0.96503,0.98839,0.87523,0.44594,0.04787,0.89294,4.68658e-05,4.68658e-05,4.68658e-05
158,87456.6,1.16802,0.16331,1.81396,0.97439,0.96498,0.98845,0.87571,0.4457,0.04773,0.89295,4.63435e-05,4.63435e-05,4.63435e-05
159,88008.9,1.15696,0.15412,1.7966,0.97441,0.96608,0.98849,0.87614,0.44537,0.04758,0.89297,4.58215e-05,4.58215e-05,4.58215e-05
160,88561.7,1.15092,0.15465,1.78435,0.9744,0.96557,0.9885,0.87623,0.44514,0.04761,0.8933,4.53001e-05,4.53001e-05,4.53001e-05
161,89114.4,1.14467,0.15397,1.80058,0.97643,0.96529,0.98848,0.87725,0.4451,0.04756,0.89358,4.47791e-05,4.47791e-05,4.47791e-05
162,89664.2,1.15693,0.15616,1.7777,0.97643,0.96529,0.98852,0.87733,0.44471,0.04749,0.89347,4.42587e-05,4.42587e-05,4.42587e-05
163,90215.3,1.15738,0.15445,1.78475,0.97545,0.96662,0.98856,0.87789,0.44444,0.0474,0.89353,4.3739e-05,4.3739e-05,4.3739e-05
164,90768.9,1.15891,0.15855,1.80523,0.97677,0.96662,0.98859,0.87647,0.44422,0.04727,0.89346,4.32199e-05,4.32199e-05,4.32199e-05
165,91327.8,1.15481,0.15398,1.79684,0.97697,0.96662,0.9886,0.87747,0.4441,0.04726,0.89366,4.27016e-05,4.27016e-05,4.27016e-05
166,91881.8,1.14743,0.15639,1.79388,0.97698,0.96662,0.98923,0.87816,0.44376,0.04718,0.89372,4.21841e-05,4.21841e-05,4.21841e-05
